2026-05-17 04:21:06 | INFO | preprocessing | Zeros and missing values handled.
2026-05-17 04:21:06 | INFO | preprocessing | Ratios extracted and validated.
2026-05-17 04:21:06 | INFO | preprocessing | Split — Train: 234  Val: 50  Test: 51
2026-05-17 04:21:06 | INFO | preprocessing | Graphs built: 234
2026-05-17 04:21:06 | INFO | preprocessing | Graphs built: 50
2026-05-17 04:21:06 | INFO | preprocessing | Graphs built: 51
2026-05-17 04:21:06 | INFO | preprocessing | Preprocessing complete.
2026-05-17 04:21:06 | INFO | preprocessing | 5-fold cross-validation splits generated.
2026-05-17 04:21:06 | INFO | preprocessing | Graphs built: 227
2026-05-17 04:21:06 | INFO | preprocessing | Graphs built: 57
2026-05-17 04:21:41 | INFO | preprocessing | Graphs built: 227
2026-05-17 04:21:41 | INFO | preprocessing | Graphs built: 57
2026-05-17 04:21:59 | INFO | preprocessing | Graphs built: 227
2026-05-17 04:21:59 | INFO | preprocessing | Graphs built: 57
2026-05-17 04:22:19 | INFO | preprocessing | Graphs built: 227
2026-05-17 04:22:19 | INFO | preprocessing | Graphs built: 57
2026-05-17 04:23:10 | INFO | preprocessing | Graphs built: 228
2026-05-17 04:23:10 | INFO | preprocessing | Graphs built: 56
2026-05-17 04:39:32 | INFO | preprocessing | Loading: /Users/krohn/PycharmProjects/pignn_uq/data/dataApp_all_Df.xlsx
2026-05-17 04:39:33 | INFO | preprocessing |   Feuil1: 154 rows
2026-05-17 04:39:33 | INFO | preprocessing |   Feuil2: 181 rows
2026-05-17 04:39:33 | INFO | preprocessing |   Raw total: 335 rows
2026-05-17 04:39:33 | INFO | preprocessing |   After class filter: 335 (removed 0)
2026-05-17 04:39:33 | INFO | preprocessing |   After dropna on gases: 335 (removed 0)
2026-05-17 04:39:33 | INFO | preprocessing |   Final dataset: 335 samples
2026-05-17 04:39:33 | INFO | preprocessing |     D1(201): 55
2026-05-17 04:39:33 | INFO | preprocessing |     D2(202): 70
2026-05-17 04:39:33 | INFO | preprocessing |     T1(301): 68
2026-05-17 04:39:33 | INFO | preprocessing |     T2(302): 38
2026-05-17 04:39:33 | INFO | preprocessing |     T3(303): 95
2026-05-17 04:39:33 | INFO | preprocessing |     DT(400): 9
2026-05-17 04:39:33 | INFO | preprocessing | Zeros and missing values handled.
2026-05-17 04:39:33 | INFO | preprocessing | Ratios extracted and validated.
2026-05-17 04:39:33 | INFO | preprocessing | Split — Train: 234  Val: 50  Test: 51
2026-05-17 04:39:33 | INFO | preprocessing | Graphs built: 234
2026-05-17 04:39:33 | INFO | preprocessing | Graphs built: 50
2026-05-17 04:39:33 | INFO | preprocessing | Graphs built: 51
2026-05-17 04:39:33 | INFO | preprocessing | Preprocessing complete.
2026-05-17 04:39:33 | INFO | preprocessing | 10-fold cross-validation splits generated.
2026-05-17 04:39:33 | INFO | preprocessing | Graphs built: 255
2026-05-17 04:39:33 | INFO | preprocessing | Graphs built: 29
2026-05-17 04:40:13 | INFO | preprocessing | Graphs built: 255
2026-05-17 04:40:13 | INFO | preprocessing | Graphs built: 29
2026-05-17 04:40:45 | INFO | preprocessing | Graphs built: 255
2026-05-17 04:40:45 | INFO | preprocessing | Graphs built: 29
2026-05-17 04:41:28 | INFO | preprocessing | Graphs built: 255
2026-05-17 04:41:28 | INFO | preprocessing | Graphs built: 29
2026-05-17 04:42:18 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:42:18 | INFO | preprocessing | Graphs built: 28
2026-05-17 04:42:46 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:42:46 | INFO | preprocessing | Graphs built: 28
2026-05-17 04:43:30 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:43:30 | INFO | preprocessing | Graphs built: 28
2026-05-17 04:44:00 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:44:00 | INFO | preprocessing | Graphs built: 28
2026-05-17 04:44:40 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:44:40 | INFO | preprocessing | Graphs built: 28
2026-05-17 04:45:03 | INFO | preprocessing | Graphs built: 256
2026-05-17 04:45:03 | INFO | preprocessing | Graphs built: 28
